,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:39:40,80:58:f8:d8:ad:e1,[3],[-86.5],1
1,4589,center,2018-02-13 10:40:52,80:58:f8:d8:ad:e1,"[1, 2]","[-75.5, -85.0]",2
2,4589,center,2018-02-13 10:41:06,80:58:f8:d8:ad:e1,[1],[-77.0],1
3,4589,center,2018-02-13 10:41:08,80:58:f8:d8:ad:e1,[2],[-81.33333333333333],1
4,4589,center,2018-02-13 10:41:53,80:58:f8:d8:ad:e1,"[1, 2]","[-73.58333333333333, -87.0]",2
5,4589,center,2018-02-13 10:43:57,80:58:f8:d8:ad:e1,[3],[-86.0],1
6,4589,center,2018-02-13 10:44:50,80:58:f8:d8:ad:e1,"[1, 3, 4]","[-86.5, -63.0, -67.5]",3
7,4589,center,2018-02-13 10:44:52,80:58:f8:d8:ad:e1,[2],[-83.5],1
8,4589,center,2018-02-13 10:44:53,80:58:f8:d8:ad:e1,[4],[-66.66666666666667],1
9,4589,center,2018-02-13 10:44:54,80:58:f8:d8:ad:e1,[3],[-65.0],1
10,4589,center,2018-02-13 10:45:52,80:58:f8:d8:ad:e1,"[2, 4]","[-78.22222222222223, -67.6923076923077]",2
11,4589,center,2018-02-13 10:45:53,80:58:f8:d8:ad:e1,[1],[-84.42857142857143],1
12,4589,center,2018-02-13 10:45:58,80:58:f8:d8:ad:e1,[3],[-46.375],1
13,4589,center,2018-02-13 10:46:52,80:58:f8:d8:ad:e1,[2],[-52.75],1
14,4589,center,2018-02-13 10:46:53,80:58:f8:d8:ad:e1,[1],[-54.416666666666664],1
15,4589,center,2018-02-13 10:46:55,80:58:f8:d8:ad:e1,"[3, 4]","[-84.0, -81.0]",2
16,4589,center,2018-02-13 10:47:53,80:58:f8:d8:ad:e1,[4],[-67.07142857142857],1
17,4589,center,2018-02-13 10:47:56,80:58:f8:d8:ad:e1,[3],[-80.6],1
18,4589,center,2018-02-13 10:47:58,80:58:f8:d8:ad:e1,[1],[-76.44444444444444],1
19,4589,center,2018-02-13 10:48:56,80:58:f8:d8:ad:e1,[1],[-73.30434782608695],1
20,4589,center,2018-02-13 10:49:00,80:58:f8:d8:ad:e1,"[3, 4]","[-74.7, -62.5]",2
21,4589,center,2018-02-13 10:49:55,80:58:f8:d8:ad:e1,[4],[-67.85714285714286],1
22,4589,center,2018-02-13 10:49:56,80:58:f8:d8:ad:e1,[1],[-77.81818181818181],1
23,4589,center,2018-02-13 10:49:57,80:58:f8:d8:ad:e1,[3],[-79.33333333333333],1
24,4589,center,2018-02-13 10:50:00,80:58:f8:d8:ad:e1,[4],[-72.25],1
25,4589,center,2018-02-13 10:50:57,80:58:f8:d8:ad:e1,[3],[-72.66666666666667],1
26,4589,center,2018-02-13 10:50:58,80:58:f8:d8:ad:e1,[1],[-81.625],1
27,4589,center,2018-02-13 10:50:59,80:58:f8:d8:ad:e1,[4],[-64.92857142857143],1
28,4589,center,2018-02-13 10:51:47,80:58:f8:d8:ad:e1,[4],[-50.47826086956522],1
29,4589,center,2018-02-13 10:51:48,80:58:f8:d8:ad:e1,"[1, 3]","[-69.68181818181819, -67.23809523809524]",2
30,4589,center,2018-02-13 10:51:49,80:58:f8:d8:ad:e1,[2],[-72.52],1
31,4589,center,2018-02-13 10:51:51,80:58:f8:d8:ad:e1,[4],[-50.22727272727273],1
32,4589,center,2018-02-13 10:51:53,80:58:f8:d8:ad:e1,[3],[-67.0],1
33,4589,center,2018-02-13 10:51:54,80:58:f8:d8:ad:e1,[1],[-69.85],1
34,4589,center,2018-02-13 10:51:56,80:58:f8:d8:ad:e1,"[2, 4]","[-72.58333333333333, -52.46153846153846]",2
35,4589,center,2018-02-13 10:51:58,80:58:f8:d8:ad:e1,[3],[-70.66666666666667],1
36,4589,center,2018-02-13 10:51:59,80:58:f8:d8:ad:e1,[1],[-67.72727272727273],1
37,4589,center,2018-02-13 10:52:22,80:58:f8:d8:ad:e1,"[1, 4]","[-81.0, -68.4]",2
38,4589,center,2018-02-13 10:52:24,80:58:f8:d8:ad:e1,[3],[-65.55555555555556],1
39,4589,center,2018-02-13 10:52:54,80:58:f8:d8:ad:e1,"[1, 3]","[-79.0, -43.2]",2
40,4589,center,2018-02-13 10:52:58,80:58:f8:d8:ad:e1,[4],[-68.1],1
41,4589,center,2018-02-13 10:52:59,80:58:f8:d8:ad:e1,[2],[-68.6842105263158],1
42,4589,center,2018-02-13 10:53:00,80:58:f8:d8:ad:e1,[3],[-46.45454545454545],1
43,4589,center,2018-02-13 10:53:01,80:58:f8:d8:ad:e1,[1],[-77.5625],1
44,4589,center,2018-02-13 10:53:03,80:58:f8:d8:ad:e1,[4],[-68.14285714285714],1
45,4589,center,2018-02-13 10:53:04,80:58:f8:d8:ad:e1,[3],[-54.72727272727273],1
46,4589,center,2018-02-13 10:53:05,80:58:f8:d8:ad:e1,[2],[-67.57142857142857],1
47,4589,center,2018-02-13 10:53:06,80:58:f8:d8:ad:e1,[1],[-75.44444444444444],1
48,4589,center,2018-02-13 10:53:13,80:58:f8:d8:ad:e1,[2],[-67.75],1
49,4589,center,2018-02-13 10:53:16,80:58:f8:d8:ad:e1,"[1, 4]","[-74.44827586206897, -72.16666666666667]",2
50,4589,center,2018-02-13 10:53:17,80:58:f8:d8:ad:e1,"[2, 3]","[-63.77272727272727, -60.625]",2
51,4589,center,2018-02-13 10:53:20,80:58:f8:d8:ad:e1,[1],[-74.25],1
52,4589,center,2018-02-13 10:53:21,80:58:f8:d8:ad:e1,[3],[-63.5],1
53,4589,center,2018-02-13 10:53:22,80:58:f8:d8:ad:e1,[4],[-71.6],1
54,4589,center,2018-02-13 10:53:23,80:58:f8:d8:ad:e1,[2],[-65.63636363636364],1
55,4589,center,2018-02-13 10:53:26,80:58:f8:d8:ad:e1,"[1, 4]","[-74.5, -74.33333333333333]",2
56,4589,center,2018-02-13 10:53:27,80:58:f8:d8:ad:e1,[3],[-60.625],1
57,4589,center,2018-02-13 10:53:29,80:58:f8:d8:ad:e1,[2],[-62.0],1
58,4589,center,2018-02-13 10:53:30,80:58:f8:d8:ad:e1,"[3, 4]","[-58.2, -77.0]",2
59,4589,center,2018-02-13 10:53:31,80:58:f8:d8:ad:e1,[1],[-74.8],1
60,4589,center,2018-02-13 10:53:33,80:58:f8:d8:ad:e1,[2],[-62.42857142857143],1
61,4589,center,2018-02-13 10:53:35,80:58:f8:d8:ad:e1,[4],[-75.5],1
62,4589,center,2018-02-13 10:53:36,80:58:f8:d8:ad:e1,[3],[-61.5],1
63,4589,center,2018-02-13 10:53:37,80:58:f8:d8:ad:e1,"[1, 2]","[-75.57142857142857, -63.59090909090909]",2
64,4589,center,2018-02-13 10:53:38,80:58:f8:d8:ad:e1,[4],[-75.41666666666667],1
65,4589,center,2018-02-13 10:53:40,80:58:f8:d8:ad:e1,[3],[-61.7],1
66,4589,center,2018-02-13 10:53:41,80:58:f8:d8:ad:e1,[2],[-67.11111111111111],1
67,4589,center,2018-02-13 10:53:42,80:58:f8:d8:ad:e1,"[1, 4]","[-75.14285714285714, -75.5]",2
68,4589,center,2018-02-13 10:53:45,80:58:f8:d8:ad:e1,[3],[-62.1],1
69,4589,center,2018-02-13 10:53:46,80:58:f8:d8:ad:e1,[2],[-66.27272727272727],1
70,4589,center,2018-02-13 10:53:47,80:58:f8:d8:ad:e1,[4],[-73.5],1
71,4589,center,2018-02-13 10:53:49,80:58:f8:d8:ad:e1,[1],[-76.83333333333333],1
72,4589,center,2018-02-13 10:56:29,80:58:f8:d8:ad:e1,[2],[-67.5625],1
73,4589,center,2018-02-13 10:56:30,80:58:f8:d8:ad:e1,[3],[-78.45454545454545],1
74,4589,center,2018-02-13 10:56:31,80:58:f8:d8:ad:e1,[1],[-67.66666666666667],1
75,4589,center,2018-02-13 10:56:33,80:58:f8:d8:ad:e1,[4],[-79.6],1
76,4589,center,2018-02-13 10:56:35,80:58:f8:d8:ad:e1,[2],[-69.0],1
77,4589,center,2018-02-13 10:59:02,80:58:f8:d8:ad:e1,"[3, 4]","[-76.0, -68.33333333333333]",2
78,4589,center,2018-02-13 10:59:06,80:58:f8:d8:ad:e1,"[1, 2]","[-47.4, -68.2]",2
79,4589,center,2018-02-13 10:59:07,80:58:f8:d8:ad:e1,[3],[-76.5],1
80,4589,center,2018-02-13 11:00:05,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-44.857142857142854, -64.54545454545455, -73.0, -72.0]",4
81,4589,center,2018-02-13 11:00:59,80:58:f8:d8:ad:e1,"[2, 3, 4]","[-47.0, -71.28571428571429, -64.0]",3
82,4589,center,2018-02-13 11:01:00,80:58:f8:d8:ad:e1,[1],[-51.9],1
83,4589,center,2018-02-13 11:01:02,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-49.27272727272727, -59.22222222222222, -72.04347826086956, -62.84]",4
84,4589,center,2018-02-13 11:01:04,80:58:f8:d8:ad:e1,[2],[-50.0],1
85,4589,center,2018-02-13 11:01:06,80:58:f8:d8:ad:e1,"[1, 4]","[-49.5, -64.4]",2
86,4589,center,2018-02-13 11:01:07,80:58:f8:d8:ad:e1,[3],[-68.375],1
87,4589,center,2018-02-13 11:01:09,80:58:f8:d8:ad:e1,"[1, 2]","[-49.84615384615385, -49.583333333333336]",2
88,4589,center,2018-02-13 11:01:10,80:58:f8:d8:ad:e1,[4],[-65.33333333333333],1
89,4589,center,2018-02-13 11:01:13,80:58:f8:d8:ad:e1,"[1, 3]","[-47.666666666666664, -67.0]",2
90,4589,center,2018-02-13 11:01:14,80:58:f8:d8:ad:e1,[4],[-66.71428571428571],1
91,4589,center,2018-02-13 11:01:15,80:58:f8:d8:ad:e1,[2],[-52.75],1
92,4589,center,2018-02-13 11:01:16,80:58:f8:d8:ad:e1,[3],[-68.0],1
93,4589,center,2018-02-13 11:01:17,80:58:f8:d8:ad:e1,[4],[-70.0],1
94,4589,center,2018-02-13 11:01:18,80:58:f8:d8:ad:e1,[2],[-52.3],1
95,4589,center,2018-02-13 11:01:21,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-47.27777777777778, -49.72, -69.5, -65.66666666666667]",4
96,4589,center,2018-02-13 11:01:24,80:58:f8:d8:ad:e1,[1],[-47.916666666666664],1
97,4589,center,2018-02-13 11:01:25,80:58:f8:d8:ad:e1,[2],[-55.0],1
98,4589,center,2018-02-13 11:01:26,80:58:f8:d8:ad:e1,"[3, 4]","[-69.8, -65.63636363636364]",2
99,4589,center,2018-02-13 11:01:29,80:58:f8:d8:ad:e1,"[1, 2]","[-51.44444444444444, -59.77777777777778]",2
100,4589,center,2018-02-13 11:01:30,80:58:f8:d8:ad:e1,[3],[-74.5],1
101,4589,center,2018-02-13 11:02:10,80:58:f8:d8:ad:e1,"[3, 4]","[-75.125, -67.2]",2
102,4589,center,2018-02-13 11:02:11,80:58:f8:d8:ad:e1,"[1, 2]","[-47.81818181818182, -64.5]",2
103,4589,center,2018-02-13 11:02:13,80:58:f8:d8:ad:e1,[4],[-70.5],1
104,4589,center,2018-02-13 11:03:11,80:58:f8:d8:ad:e1,"[1, 4]","[-52.0, -73.66666666666667]",2
105,4589,center,2018-02-13 11:03:13,80:58:f8:d8:ad:e1,[2],[-63.0],1
106,4589,center,2018-02-13 11:03:15,80:58:f8:d8:ad:e1,[1],[-52.0],1
107,4589,center,2018-02-13 11:03:18,80:58:f8:d8:ad:e1,[4],[-71.66666666666667],1
108,4589,center,2018-02-13 11:08:26,80:58:f8:d8:ad:e1,"[3, 4]","[-61.6, -55.27272727272727]",2
109,4589,center,2018-02-13 11:08:29,80:58:f8:d8:ad:e1,[2],[-80.0],1
110,4589,center,2018-02-13 11:08:31,80:58:f8:d8:ad:e1,"[1, 3]","[-67.16666666666667, -68.0]",2
111,4589,center,2018-02-13 11:08:56,80:58:f8:d8:ad:e1,"[1, 3]","[-60.07142857142857, -76.0]",2
112,4589,center,2018-02-13 11:08:58,80:58:f8:d8:ad:e1,[2],[-53.142857142857146],1
113,4589,center,2018-02-13 11:08:59,80:58:f8:d8:ad:e1,[4],[-69.38461538461539],1
114,4589,center,2018-02-13 11:11:06,80:58:f8:d8:ad:e1,[3],[-80.57142857142857],1
115,4589,center,2018-02-13 11:11:07,80:58:f8:d8:ad:e1,[4],[-71.0],1
116,4589,center,2018-02-13 11:11:08,80:58:f8:d8:ad:e1,[1],[-59.8],1
117,4589,center,2018-02-13 11:11:10,80:58:f8:d8:ad:e1,[2],[-67.83333333333333],1
118,4589,center,2018-02-13 11:13:40,80:58:f8:d8:ad:e1,"[1, 2]","[-51.285714285714285, -60.666666666666664]",2
119,4589,center,2018-02-13 11:13:41,80:58:f8:d8:ad:e1,[3],[-76.5],1
120,4589,center,2018-02-13 11:13:44,80:58:f8:d8:ad:e1,[4],[-67.75],1
121,4589,center,2018-02-13 11:16:20,80:58:f8:d8:ad:e1,"[1, 3, 4]","[-60.333333333333336, -72.88888888888889, -69.33333333333333]",3
122,4589,center,2018-02-13 11:16:21,80:58:f8:d8:ad:e1,[2],[-60.2],1
123,4589,center,2018-02-13 11:18:59,80:58:f8:d8:ad:e1,[2],[-71.55555555555556],1
124,4589,center,2018-02-13 11:19:00,80:58:f8:d8:ad:e1,"[1, 3]","[-79.0, -67.5]",2
125,4589,center,2018-02-13 11:20:02,80:58:f8:d8:ad:e1,[2],[-79.0],1
126,4589,center,2018-02-13 11:20:04,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-81.0, -82.5, -64.11111111111111, -76.2]",4
127,4589,center,2018-02-13 11:21:03,80:58:f8:d8:ad:e1,[1],[-70.1],1
128,4589,center,2018-02-13 11:21:04,80:58:f8:d8:ad:e1,"[3, 4]","[-67.0, -79.42857142857143]",2
129,4589,center,2018-02-13 11:21:05,80:58:f8:d8:ad:e1,[2],[-47.92857142857143],1
130,4589,center,2018-02-13 11:21:06,80:58:f8:d8:ad:e1,[1],[-70.85714285714286],1
131,4589,center,2018-02-13 11:21:38,80:58:f8:d8:ad:e1,"[1, 2, 3]","[-42.63636363636363, -49.0, -73.8]",3
132,4589,center,2018-02-13 11:21:39,80:58:f8:d8:ad:e1,[4],[-65.25],1
133,4589,center,2018-02-13 11:21:40,80:58:f8:d8:ad:e1,"[1, 2, 3]","[-44.13333333333333, -49.13333333333333, -72.57894736842105]",3
134,4589,center,2018-02-13 11:21:41,80:58:f8:d8:ad:e1,[4],[-62.0],1
135,4589,center,2018-02-13 11:21:42,80:58:f8:d8:ad:e1,"[1, 3]","[-42.0, -71.4]",2
136,4589,center,2018-02-13 11:21:44,80:58:f8:d8:ad:e1,[2],[-47.5],1
137,4589,center,2018-02-13 11:21:59,80:58:f8:d8:ad:e1,"[2, 4]","[-48.857142857142854, -65.08695652173913]",2
138,4589,center,2018-02-13 11:22:00,80:58:f8:d8:ad:e1,"[1, 3]","[-44.958333333333336, -72.44]",2
139,4589,center,2018-02-13 11:22:23,80:58:f8:d8:ad:e1,"[2, 3]","[-63.1, -78.0]",2
140,4589,center,2018-02-13 11:22:25,80:58:f8:d8:ad:e1,[1],[-48.72727272727273],1
141,4589,center,2018-02-13 11:22:26,80:58:f8:d8:ad:e1,[4],[-64.16666666666667],1
142,4589,center,2018-02-13 11:22:41,80:58:f8:d8:ad:e1,[1],[-51.6],1
143,4589,center,2018-02-13 11:22:42,80:58:f8:d8:ad:e1,[4],[-66.85714285714286],1
144,4589,center,2018-02-13 11:22:43,80:58:f8:d8:ad:e1,[3],[-71.75],1
145,4589,center,2018-02-13 11:22:44,80:58:f8:d8:ad:e1,[2],[-66.125],1
146,4589,center,2018-02-13 11:22:46,80:58:f8:d8:ad:e1,[1],[-52.2],1
147,4589,center,2018-02-13 11:23:26,80:58:f8:d8:ad:e1,[3],[-76.3076923076923],1
148,4589,center,2018-02-13 11:23:28,80:58:f8:d8:ad:e1,"[1, 2, 4]","[-44.54545454545455, -60.214285714285715, -72.0]",3
149,4589,center,2018-02-13 11:24:26,80:58:f8:d8:ad:e1,[1],[-48.72727272727273],1
150,4589,center,2018-02-13 11:24:28,80:58:f8:d8:ad:e1,[3],[-71.0909090909091],1
151,4589,center,2018-02-13 11:24:29,80:58:f8:d8:ad:e1,[2],[-55.76923076923077],1
152,4589,center,2018-02-13 11:24:31,80:58:f8:d8:ad:e1,[1],[-54.0],1
153,4589,center,2018-02-13 11:24:32,80:58:f8:d8:ad:e1,[4],[-71.8],1
154,4589,center,2018-02-13 11:25:26,80:58:f8:d8:ad:e1,[3],[-72.42857142857143],1
155,4589,center,2018-02-13 11:25:27,80:58:f8:d8:ad:e1,"[1, 2]","[-51.75, -64.6]",2
156,4589,center,2018-02-13 11:25:28,80:58:f8:d8:ad:e1,[4],[-71.0],1
157,4589,center,2018-02-13 11:26:32,80:58:f8:d8:ad:e1,[2],[-66.9],1
158,4589,center,2018-02-13 11:26:33,80:58:f8:d8:ad:e1,[1],[-56.285714285714285],1
159,4589,center,2018-02-13 11:26:36,80:58:f8:d8:ad:e1,[4],[-67.66666666666667],1
160,4589,center,2018-02-13 11:27:27,80:58:f8:d8:ad:e1,[3],[-75.33333333333333],1
161,4589,center,2018-02-13 11:27:28,80:58:f8:d8:ad:e1,"[1, 2]","[-45.77777777777778, -52.22222222222222]",2
162,4589,center,2018-02-13 11:27:29,80:58:f8:d8:ad:e1,[4],[-63.4],1
163,4589,center,2018-02-13 11:27:30,80:58:f8:d8:ad:e1,[3],[-74.8125],1
164,4589,center,2018-02-13 11:27:31,80:58:f8:d8:ad:e1,[1],[-45.2],1
165,4589,center,2018-02-13 11:27:32,80:58:f8:d8:ad:e1,[2],[-58.2],1
166,4589,center,2018-02-13 11:27:45,80:58:f8:d8:ad:e1,"[1, 2, 4]","[-45.63636363636363, -56.333333333333336, -65.33333333333333]",3
167,4589,center,2018-02-13 11:27:48,80:58:f8:d8:ad:e1,[3],[-75.08333333333333],1
168,4589,center,2018-02-13 11:27:50,80:58:f8:d8:ad:e1,[4],[-68.375],1
169,4589,center,2018-02-13 11:27:51,80:58:f8:d8:ad:e1,"[1, 2]","[-44.18181818181818, -57.07142857142857]",2
170,4589,center,2018-02-13 11:28:44,80:58:f8:d8:ad:e1,[2],[-61.857142857142854],1
171,4589,center,2018-02-13 11:28:45,80:58:f8:d8:ad:e1,[4],[-69.0],1
172,4589,center,2018-02-13 11:28:49,80:58:f8:d8:ad:e1,"[1, 3]","[-52.34782608695652, -72.75]",2
173,4589,center,2018-02-13 11:28:51,80:58:f8:d8:ad:e1,[2],[-59.166666666666664],1
174,4589,center,2018-02-13 11:28:55,80:58:f8:d8:ad:e1,[4],[-68.16666666666667],1
175,4589,center,2018-02-13 11:29:14,80:58:f8:d8:ad:e1,[3],[-68.5],1
176,4589,center,2018-02-13 11:29:15,80:58:f8:d8:ad:e1,"[1, 4]","[-50.214285714285715, -61.30769230769231]",2
177,4589,center,2018-02-13 11:29:16,80:58:f8:d8:ad:e1,[2],[-64.5],1
178,4589,center,2018-02-13 11:29:17,80:58:f8:d8:ad:e1,[3],[-69.6],1
179,4589,center,2018-02-13 11:29:18,80:58:f8:d8:ad:e1,[4],[-64.44444444444444],1
180,4589,center,2018-02-13 11:29:19,80:58:f8:d8:ad:e1,"[1, 2]","[-44.8, -57.77777777777778]",2
181,4589,center,2018-02-13 11:29:20,80:58:f8:d8:ad:e1,[3],[-71.5],1
182,4589,center,2018-02-13 11:29:22,80:58:f8:d8:ad:e1,"[1, 4]","[-52.857142857142854, -61.625]",2
183,4589,center,2018-02-13 11:29:23,80:58:f8:d8:ad:e1,"[2, 3]","[-61.0, -72.0]",2
184,4589,center,2018-02-13 11:29:25,80:58:f8:d8:ad:e1,"[1, 4]","[-46.333333333333336, -60.5]",2
185,4589,center,2018-02-13 11:29:27,80:58:f8:d8:ad:e1,"[2, 3]","[-61.54545454545455, -72.0]",2
186,4589,center,2018-02-13 11:29:28,80:58:f8:d8:ad:e1,[1],[-49.5],1
187,4589,center,2018-02-13 11:29:30,80:58:f8:d8:ad:e1,"[2, 3]","[-64.85714285714286, -74.625]",2
188,4589,center,2018-02-13 11:29:31,80:58:f8:d8:ad:e1,"[1, 4]","[-55.083333333333336, -69.63636363636364]",2
189,4589,center,2018-02-13 11:29:34,80:58:f8:d8:ad:e1,[1],[-50.3],1
190,4589,center,2018-02-13 11:29:38,80:58:f8:d8:ad:e1,[4],[-69.9090909090909],1
191,4589,center,2018-02-13 11:29:39,80:58:f8:d8:ad:e1,[3],[-73.57142857142857],1
192,4589,center,2018-02-13 11:29:40,80:58:f8:d8:ad:e1,[2],[-62.411764705882355],1
193,4589,center,2018-02-13 11:29:42,80:58:f8:d8:ad:e1,[1],[-54.57142857142857],1
194,4589,center,2018-02-13 11:29:43,80:58:f8:d8:ad:e1,[4],[-71.5],1
195,4589,center,2018-02-13 11:29:44,80:58:f8:d8:ad:e1,[3],[-73.36363636363636],1
196,4589,center,2018-02-13 11:29:46,80:58:f8:d8:ad:e1,[2],[-65.53846153846153],1
197,4589,center,2018-02-13 11:29:50,80:58:f8:d8:ad:e1,[1],[-58.0],1
198,4589,center,2018-02-13 11:29:51,80:58:f8:d8:ad:e1,[4],[-68.0],1
199,4589,center,2018-02-13 11:29:52,80:58:f8:d8:ad:e1,"[2, 3]","[-57.0, -76.70588235294117]",2
200,4589,center,2018-02-13 11:29:55,80:58:f8:d8:ad:e1,"[1, 2, 4]","[-55.1, -67.33333333333333, -65.33333333333333]",3
201,4589,center,2018-02-13 11:29:56,80:58:f8:d8:ad:e1,[4],[-71.625],1
202,4589,center,2018-02-13 11:29:57,80:58:f8:d8:ad:e1,"[1, 3]","[-56.7, -79.0]",2
203,4589,center,2018-02-13 11:30:00,80:58:f8:d8:ad:e1,[1],[-55.44444444444444],1
204,4589,center,2018-02-13 11:30:01,80:58:f8:d8:ad:e1,[3],[-77.66666666666667],1
205,4589,center,2018-02-13 11:30:02,80:58:f8:d8:ad:e1,[2],[-65.57142857142857],1
206,4589,center,2018-02-13 11:30:03,80:58:f8:d8:ad:e1,[4],[-70.77777777777777],1
207,4589,center,2018-02-13 11:30:05,80:58:f8:d8:ad:e1,"[2, 3, 4]","[-62.4, -77.4, -70.2]",3
208,4589,center,2018-02-13 11:30:06,80:58:f8:d8:ad:e1,[1],[-54.92857142857143],1
209,4589,center,2018-02-13 11:30:08,80:58:f8:d8:ad:e1,[2],[-57.75],1
210,4589,center,2018-02-13 11:30:09,80:58:f8:d8:ad:e1,"[1, 4]","[-59.0, -66.33333333333333]",2
211,4589,center,2018-02-13 11:30:11,80:58:f8:d8:ad:e1,"[3, 4]","[-76.66666666666667, -76.0]",2
212,4589,center,2018-02-13 11:30:12,80:58:f8:d8:ad:e1,[2],[-60.285714285714285],1
213,4589,center,2018-02-13 11:30:13,80:58:f8:d8:ad:e1,[1],[-53.0],1
214,4589,center,2018-02-13 11:30:14,80:58:f8:d8:ad:e1,"[2, 3, 4]","[-61.45454545454545, -76.25, -70.72727272727273]",3
215,4589,center,2018-02-13 11:30:15,80:58:f8:d8:ad:e1,[1],[-53.5],1
216,4589,center,2018-02-13 11:30:17,80:58:f8:d8:ad:e1,"[1, 2]","[-53.833333333333336, -59.285714285714285]",2
217,4589,center,2018-02-13 11:30:19,80:58:f8:d8:ad:e1,"[3, 4]","[-74.5, -71.71428571428571]",2
218,4589,center,2018-02-13 11:30:21,80:58:f8:d8:ad:e1,[4],[-69.0],1
219,4589,center,2018-02-13 11:30:22,80:58:f8:d8:ad:e1,"[1, 2, 3]","[-56.69230769230769, -53.833333333333336, -76.42857142857143]",3
220,4589,center,2018-02-13 11:30:23,80:58:f8:d8:ad:e1,[4],[-72.5],1
221,4589,center,2018-02-13 11:30:26,80:58:f8:d8:ad:e1,"[3, 4]","[-76.7, -71.33333333333333]",2
222,4589,center,2018-02-13 11:30:27,80:58:f8:d8:ad:e1,[1],[-54.5],1
223,4589,center,2018-02-13 11:30:28,80:58:f8:d8:ad:e1,"[2, 4]","[-57.875, -72.25]",2
224,4589,center,2018-02-13 11:30:30,80:58:f8:d8:ad:e1,"[1, 2, 3]","[-52.8, -63.57142857142857, -79.5]",3
225,4589,center,2018-02-13 11:30:31,80:58:f8:d8:ad:e1,[4],[-69.6],1
226,4589,center,2018-02-13 11:30:34,80:58:f8:d8:ad:e1,"[2, 4]","[-60.0, -69.14285714285714]",2
227,4589,center,2018-02-13 11:30:36,80:58:f8:d8:ad:e1,"[1, 2]","[-55.375, -63.142857142857146]",2
228,4589,center,2018-02-13 11:30:37,80:58:f8:d8:ad:e1,[3],[-77.2],1
229,4589,center,2018-02-13 11:30:38,80:58:f8:d8:ad:e1,"[1, 4]","[-52.75, -69.0]",2
230,4589,center,2018-02-13 11:30:39,80:58:f8:d8:ad:e1,[2],[-59.75],1
231,4589,center,2018-02-13 11:30:40,80:58:f8:d8:ad:e1,[3],[-82.0],1
232,4589,center,2018-02-13 11:30:41,80:58:f8:d8:ad:e1,[4],[-70.33333333333333],1
233,4589,center,2018-02-13 11:30:43,80:58:f8:d8:ad:e1,"[1, 4]","[-55.142857142857146, -69.0]",2
234,4589,center,2018-02-13 11:30:44,80:58:f8:d8:ad:e1,[2],[-63.4],1
235,4589,center,2018-02-13 11:30:45,80:58:f8:d8:ad:e1,[3],[-75.75],1
236,4589,center,2018-02-13 11:30:46,80:58:f8:d8:ad:e1,"[1, 2, 4]","[-53.81818181818182, -65.71428571428571, -71.0]",3
237,4589,center,2018-02-13 11:30:47,80:58:f8:d8:ad:e1,[3],[-77.11111111111111],1
238,4589,center,2018-02-13 11:30:48,80:58:f8:d8:ad:e1,"[1, 4]","[-52.2, -69.9]",2
239,4589,center,2018-02-13 11:30:49,80:58:f8:d8:ad:e1,[2],[-58.333333333333336],1
240,4589,center,2018-02-13 11:30:51,80:58:f8:d8:ad:e1,"[1, 3, 4]","[-52.0, -75.6, -69.2]",3
241,4589,center,2018-02-13 11:30:52,80:58:f8:d8:ad:e1,[2],[-58.75],1
242,4589,center,2018-02-13 11:30:55,80:58:f8:d8:ad:e1,[1],[-53.93333333333333],1
243,4589,center,2018-02-13 11:30:58,80:58:f8:d8:ad:e1,"[2, 3, 4]","[-65.375, -75.0, -68.5]",3
244,4589,center,2018-02-13 11:30:59,80:58:f8:d8:ad:e1,[1],[-52.42857142857143],1
245,4589,center,2018-02-13 11:31:00,80:58:f8:d8:ad:e1,[2],[-63.53846153846154],1
246,4589,center,2018-02-13 11:31:02,80:58:f8:d8:ad:e1,[1],[-50.733333333333334],1
247,4589,center,2018-02-13 11:31:03,80:58:f8:d8:ad:e1,"[3, 4]","[-73.57142857142857, -70.0]",2
248,4589,center,2018-02-13 11:31:05,80:58:f8:d8:ad:e1,[2],[-60.2],1
249,4589,center,2018-02-13 11:31:06,80:58:f8:d8:ad:e1,[1],[-56.90909090909091],1
250,4589,center,2018-02-13 11:31:08,80:58:f8:d8:ad:e1,"[2, 3, 4]","[-61.38461538461539, -76.2, -67.0]",3
251,4589,center,2018-02-13 11:31:09,80:58:f8:d8:ad:e1,[1],[-53.53846153846154],1
252,4589,center,2018-02-13 11:31:12,80:58:f8:d8:ad:e1,[2],[-58.9375],1
253,4589,center,2018-02-13 11:31:13,80:58:f8:d8:ad:e1,[4],[-66.07692307692308],1
254,4589,center,2018-02-13 11:31:14,80:58:f8:d8:ad:e1,"[1, 3]","[-53.642857142857146, -73.0]",2
255,4589,center,2018-02-13 11:31:17,80:58:f8:d8:ad:e1,[1],[-55.4375],1
256,4589,center,2018-02-13 11:31:18,80:58:f8:d8:ad:e1,[3],[-72.66666666666667],1
257,4589,center,2018-02-13 11:31:19,80:58:f8:d8:ad:e1,"[2, 4]","[-55.7, -66.5]",2
